,lemma,original_form,tag
17304,*,heightening,ZN-S3-PP----
17447,*,hijacking,ZN-S3-PP----
17466,*,hindering,ZN-S3-PP----
17539,*,hoaxing,ZA----PP----
17544,*,hobbled,ZA----PA----
17553,*,hobnobbing,ZN-S3-PP----
17593,*,hollowing,ZN-S3-PP----
17632,*,homogenised,ZA----PA----
17637,*,homogenized,ZA----PA----
17649,*,honed,ZA----PA----
17663,*,honking,ZN-S3-PP----
17679,*,hoodwinking,ZN-S3-PP----
17699,*,hooting,ZN-S3-PP----
17705,*,hoovering,ZN-S3-PP----
17732,*,horrified,ZA----PA----
17750,*,hosing,ZA----PP----
17756,*,hospitalised,ZA----PA----
17763,*,hospitalized,ZA----PA----
17797,*,hounding,ZN-S3-PP----
17832,*,hovering,ZN-S3-PP----
17855,*,huffing,ZN-S3-PP----
17884,*,humanized,ZA----PA----
17900,*,humiliated,ZA----PA----
17938,*,hunkering,ZN-S3-PP----
17951,*,hurling,ZN-S3-PP----
17961,*,hurting,ZA----PP----
17966,*,hurtled,ZA----PA----
18011,*,hydrogenated,ZA----PA----
18023,*,hydrolysing,ZN-S3-PP----
18080,*,hyphenated,ZA----PA----
18093,*,hypnotized,ZA----PA----
18113,*,hypothesised,ZA----PA----
18169,*,identified,ZN-S3-PA----
18198,*,ignited,ZA----PA----
18206,*,ignored,ZA----PA----
18236,*,illustrated,ZA----PA----
18249,*,imagined,ZN-S3-PA----
18264,*,imbued,ZA----PA----
18270,*,imitated,ZA----PA----
18287,*,immigrated,ZA----PA----
18312,*,immunised,ZA----PA----
18319,*,immunized,ZA----PA----
18336,*,impairing,ZN-S3-PP----
18346,*,imparting,ZN-S3-PP----
18356,*,impeded,ZA----PA----
18368,*,impending,ZN-S3-PP----
18378,*,impersonated,ZA----PA----
18388,*,impinged,ZA----PA----
18399,*,implementing,ZN-S3-PP----
18416,*,implied,ZN-S3-PA----
18428,*,importuned,ZA----PA----
18434,*,imposed,ZA----PA----
18447,*,impounding,ZN-S3-PP----
18460,*,impregnated,ZA----PA----
18467,*,impressed,ZA----PA----
18477,*,imprisoning,ZN-S3-PP----
18483,*,improved,ZA----PA----
18490,*,improvised,ZA----PA----
18498,*,impugning,ZN-S3-PP----
18513,*,inactivated,ZA----PA----
18542,*,incarcerated,ZA----PA----
18547,*,incarnated,ZA----PA----
18581,*,incised,ZA----PA----
18587,*,incited,ZA----PA----
18596,*,inclined,ZA----PA----
18634,*,incriminated,ZA----PA----
18651,*,incurring,ZN-S3-PP----
18659,*,indemnified,ZA----PA----
18688,*,indicated,ZN-S3-PA----
18696,*,indicting,ZN-S3-PP----
18711,*,individualised,ZA----PA----
18716,*,individualized,ZA----PA----
18736,*,inducting,ZN-S3-PP----
18751,*,industrialized,ZA----PA----
18787,*,infecting,ZN-S3-PP----
18794,*,inferring,ZN-S3-PP----
18802,*,infesting,ZN-S3-PP----
18825,*,inflamed,ZA----PA----
18843,*,inflicting,ZN-S3-PP----
18859,*,informing,ZN-S3-PP----
18873,*,infringed,ZA----PA----
18879,*,infuriated,ZA----PA----
18892,*,ingesting,ZN-S3-PP----
18896,*,ingratiated,ZA----PA----
18904,*,inhabiting,ZN-S3-PP----
18913,*,inhaled,ZA----PA----
18920,*,inheriting,ZN-S3-PP----
18926,*,inhibiting,ZN-S3-PP----
18952,*,initiating,ZA----PP----
18960,*,injecting,ZN-S3-PP----
18967,*,injured,ZA----PA----
18995,*,innovated,ZA----PA----
19015,*,inquired,ZA----PA----
19032,*,inscribed,ZA----PA----
19041,*,inseminated,ZA----PA----
19062,*,insinuated,ZA----PA----
19069,*,insisting,ZN-S3-PP----
19079,*,inspecting,ZN-S3-PP----
19086,*,inspired,ZA----PA----
19092,*,installing,ZN-S3-PP----
19096,*,installing,ZN-S3-PP----
19106,*,instantiated,ZA----PA----
19121,*,instilling,ZN-S3-PP----
19126,*,instilling,ZN-S3-PP----
19141,*,institutionalized,ZA----PA----
19147,*,instructing,ZN-S3-PP----
19191,*,intellectualised,ZA----PA----
19199,*,intending,ZN-S3-PP----
19217,*,interacting,ZN-S3-PP----
19233,*,intercepting,ZN-S3-PP----
19241,*,interchanged,ZA----PA----
19252,*,interconnecting,ZN-S3-PP----
19283,*,interfacing,ZA----PP----
19287,*,interfered,ZA----PA----
19300,*,interjecting,ZN-S3-PP----
19304,*,interlaced,ZA----PA----
19395,*,interposed,ZA----PA----
19402,*,interpreting,ZN-S3-PP----
19410,*,interrelated,ZA----PA----
19419,*,interrogated,ZA----PA----
19427,*,interrupting,ZN-S3-PP----
19432,*,intersecting,ZN-S3-PP----
19449,*,intervened,ZA----PA----
19461,*,interweaved,ZA----PA----
19464,*,interweaving,ZN-S3-PP----
19472,*,intimated,ZA----PA----
19477,*,intimidated,ZA----PA----
19502,*,introduced,ZA----PA----
19526,*,intuiting,ZN-S3-PP----
19531,*,inundated,ZA----PA----
19537,*,inured,ZA----PA----
19548,*,invalidated,ZA----PA----
19564,*,inveighing,ZN-S3-PP----
19571,*,inventing,ZN-S3-PP----
19585,*,inverting,ZN-S3-PP----
19592,*,investing,ZN-S3-PP----
19603,*,invigilated,ZA----PA----
19609,*,invigorated,ZA----PA----
19615,*,invited,ZA----PA----
19624,*,invoked,ZA----PA----
19637,*,ionised,ZA----PA----
19643,*,ionized,ZA----PA----
19649,*,irking,ZN-S3-PP----
19658,*,irradiated,ZA----PA----
19673,*,irritated,ZA----PA----
19715,*,itemised,ZA----PA----
19735,*,jabbering,ZN-S3-PP----
19760,*,jagging,ZN-S3-PP----
19805,*,jazzed,ZA----PA----
19820,*,jeopardised,ZA----PA----
19829,*,jerking,ZN-S3-PP----
19857,*,jettisoning,ZN-S3-PP----
19870,*,jigging,ZN-S3-PP----
19882,*,jilting,ZN-S3-PP----
19886,*,jingled,ZA----PA----
19915,*,jogging,ZN-S3-PP----
19922,*,joining,ZN-S3-PP----
19934,*,joking,ZA----PP----
19954,*,jostling,ZN-S3-PP----
19969,*,jousting,ZN-S3-PP----
19984,*,juddering,ZN-S3-PP----
19996,*,juggled,ZA----PA----
20013,*,jumbling,ZA----PP----
20044,*,justified,ZA----PA----
20049,*,justifying,ZN-S3-PP----
20055,*,juxtaposed,ZA----PA----
20080,*,keening,ZN-S3-PP----
20084,*,keeping,ZN-S3-PP----
20139,*,kidnapping,ZN-S3-PP----
20147,*,killing,ZN-S3-PP----
20171,*,kindled,ZA----PA----
20217,*,kneading,ZN-S3-PP----
20228,*,kneeling,ZN-S3-PP----
20234,*,knifed,ZA----PA----
20292,*,kowtowing,ZN-S3-PP----
20365,*,lagging,ZN-S3-PP----
20381,*,lambasting,ZN-S3-PP----
20403,*,lampooning,ZN-S3-PP----
20439,*,languished,ZA----PA----
20481,*,lashed,ZA----PA----
20493,*,lasting,ZN-S3-PP----
20521,*,lauding,ZN-S3-PP----
20530,*,launching,ZA----PP----
20536,*,laundering,ZN-S3-PP----
20566,*,laying,ZN-S3-PP----
20600,*,leafing,ZN-S3-PP----
20635,*,learning,ZN-S3-PP----
20652,*,leaving,ZA----PP----
20658,*,leavening,ZN-S3-PP----
20679,*,leeching,ZA----PP----
20701,*,legalised,ZA----PA----
20710,*,legalized,ZA----PA----
20728,*,legislated,ZA----PA----
20735,*,legitimated,ZA----PA----
20753,*,lending,ZA----PP----
20760,*,lengthening,ZN-S3-PP----
20781,*,lessening,ZN-S3-PP----
20817,*,levitated,ZA----PA----
20839,*,liaised,ZA----PA----
20855,*,liberalised,ZA----PA----
20860,*,liberalized,ZA----PA----
20896,*,licking,ZN-S3-PP----
20947,*,lightening,ZN-S3-PP----
20961,*,liked,ZA----PA----
20973,*,likening,ZN-S3-PP----
20985,*,limbering,ZN-S3-PP----
21003,*,limping,ZN-S3-PP----
21021,*,lingering,ZN-S3-PP----
21053,*,liquefied,ZA----PA----
21059,*,liquidated,ZA----PA----
21065,*,liquidised,ZA----PA----
21085,*,listening,ZN-S3-PP----
21101,*,litigated,ZA----PA----
21131,*,livening,ZN-S3-PP----
21154,*,loathed,ZA----PA----
21160,*,lobbing,ZN-S3-PP----
21204,*,lodged,ZA----PA----
21231,*,loitering,ZN-S3-PP----
21235,*,lolling,ZN-S3-PP----
21296,*,loosening,ZN-S3-PP----
21300,*,looting,ZN-S3-PP----
21305,*,lopping,ZN-S3-PP----
21364,*,lowering,ZN-S3-PP----
21379,*,lubricated,ZA----PA----
21401,*,lumbering,ZN-S3-PP----
21427,*,lurched,ZA----PA----
21436,*,lurking,ZN-S3-PP----
21513,*,maddening,ZN-S3-PP----
21567,*,maiming,ZN-S3-PP----
21577,*,maintaining,ZN-S3-PP----
21612,*,maligning,ZN-S3-PP----
21622,*,malingering,ZN-S3-PP----
21636,*,maltreating,ZN-S3-PP----
21647,*,manning,ZN-S3-PP----
21683,*,mangled,ZA----PA----
21707,*,manicuring,ZA----PP----
21712,*,manifesting,ZN-S3-PP----
21722,*,manipulated,ZA----PA----
21757,*,manufacturing,ZA----PP----
21764,*,manuring,ZA----PP----
21776,*,marring,ZN-S3-PP----
21783,*,marauding,ZN-S3-PP----
21803,*,marginalised,ZA----PA----
21847,*,married,ZA----PA----
21927,*,masticated,ZA----PA----
21934,*,masturbated,ZA----PA----
21962,*,materialised,ZA----PA----
21969,*,materialized,ZA----PA----
21983,*,matriculated,ZA----PA----
22005,*,mauling,ZN-S3-PP----
22018,*,maximised,ZA----PA----
22023,*,maximized,ZA----PA----
22076,*,mechanised,ZA----PA----
22082,*,mechanized,ZA----PA----
22092,*,meddled,ZA----PA----
22098,*,mediated,ZA----PA----
22114,*,meditated,ZA----PA----
22130,*,meeting,ZA----PP----
22152,*,melding,ZN-S3-PP----
22166,*,melting,ZN-S3-PP----
22183,*,memorialized,ZA----PA----
22202,*,mending,ZN-S3-PP----
22216,*,menstruated,ZA----PA----
22363,*,mewing,ZN-S3-PP----
22519,*,migrated,ZA----PA----
22538,*,militarised,ZA----PA----
22543,*,militarized,ZA----PA----
22585,*,mimed,ZA----PA----
22600,*,mincing,ZA----PP----
22612,*,mining,ZA----PP----
22619,*,mineralised,ZA----PA----
22648,*,minimised,ZA----PA----
22653,*,minimized,ZA----PA----
22686,*,mired,ZA----PA----
22726,*,miscalculated,ZA----PA----
22749,*,misconceived,ZA----PA----
22820,*,misinterpreting,ZN-S3-PP----
22824,*,misjudged,ZA----PA----
22842,*,misleading,ZN-S3-PP----
22884,*,misrepresenting,ZN-S3-PP----
22918,*,mistaking,ZA----PP----
22935,*,mistreating,ZN-S3-PP----
22952,*,misunderstanding,ZN-S3-PP----
22966,*,mitigated,ZA----PA----
23002,*,mobilised,ZA----PA----
23010,*,mobilized,ZA----PA----
23017,*,mocking,ZN-S3-PP----
23045,*,modernised,ZA----PA----
23054,*,modernized,ZA----PA----
23061,*,modified,ZA----PA----
23080,*,moistening,ZN-S3-PP----
23084,*,moisturised,ZA----PA----
23090,*,moisturized,ZA----PA----
23108,*,molesting,ZN-S3-PP----
23120,*,molting,ZN-S3-PP----
23178,*,monopolised,ZA----PA----
23184,*,monopolized,ZA----PA----
23209,*,mooing,ZN-S3-PP----
23228,*,mooring,ZN-S3-PP----
23234,*,mooting,ZN-S3-PP----
23238,*,mopping,ZN-S3-PP----
23248,*,moralised,ZA----PA----
23255,*,moralized,ZA----PA----
23271,*,morphing,ZN-S3-PP----
23287,*,mortgaging,ZA----PP----
23294,*,mortified,ZA----PA----
23304,*,moseying,ZN-S3-PP----
23329,*,motivated,ZA----PA----
23348,*,motorised,ZA----PA----
23353,*,motorized,ZA----PA----
23375,*,moulting,ZN-S3-PP----
23388,*,mourning,ZN-S3-PP----
23428,*,mucking,ZN-S3-PP----
23455,*,muffled,ZA----PA----
23475,*,mulling,ZN-S3-PP----
23518,*,multiplied,ZA----PA----
23533,*,multitasking,ZN-S3-PP----
23561,*,munched,ZA----PA----
23582,*,muscling,ZA----PP----
23588,*,musing,ZA----PP----
23621,*,mutated,ZA----PA----
23643,*,muttering,ZN-S3-PP----
23670,*,mystified,ZA----PA----
23740,*,narrated,ZA----PA----
23764,*,nationalised,ZA----PA----
23771,*,nationalized,ZA----PA----
23786,*,naturalised,ZA----PA----
23793,*,naturalized,ZA----PA----
23812,*,navigated,ZA----PA----
23826,*,nearing,ZN-S3-PP----
23882,*,negotiated,ZA----PA----
23890,*,neighing,ZN-S3-PP----
23923,*,nestled,ZA----PA----
23980,*,neutering,ZN-S3-PP----
24040,*,niggled,ZA----PA----
24082,*,nipping,ZN-S3-PP----
24098,*,nixed,ZA----PA----
24242,*,normalised,ZA----PA----
24248,*,normalized,ZA----PA----
24286,*,notarized,ZA----PA----
24294,*,notched,ZA----PA----
24312,*,notified,ZN-S3DPA----
24319,*,nourished,ZA----PA----
24364,*,numbing,ZN-S3-PP----
24379,*,nursing,ZA----PP----
24386,*,nurtured,ZA----PA----
24423,*,obeying,ZN-S3-PP----
24444,*,obliged,ZA----PA----
24466,*,observed,ZA----PA----
24471,*,obsessed,ZA----PA----
24482,*,obstructing,ZN-S3-PP----
24488,*,obtaining,ZN-S3-PP----
24493,*,obviated,ZA----PA----
24509,*,occupied,ZA----PA----
24515,*,occurring,ZN-S3-PP----
24556,*,offending,ZN-S3-PP----
24576,*,offloading,ZN-S3-PP----
24702,*,opined,ZA----PA----
24712,*,opposed,ZA----PA----
24720,*,oppressed,ZA----PA----
24728,*,opting,ZN-S3-PP----
24738,*,optimized,ZA----PA----
24767,*,orchestrated,ZA----PA----
24775,*,ordaining,ZN-S3-PP----
24795,*,organised,ZA----PA----
24804,*,organized,ZA----PA----
24815,*,orienting,ZN-S3-PP----
24828,*,originated,ZA----PA----
24854,*,oscillated,ZA----PA----
24884,*,ousting,ZN-S3-PP----
24892,*,outbidding,ZN-S3-PP----
24899,*,outclassed,ZA----PA----
24917,*,outdistancing,ZN-S3-PP----
24932,*,outflanking,ZN-S3-PP----
24951,*,outlasting,ZN-S3-PP----
24955,*,outlawing,ZN-S3-PP----
24973,*,outnumbering,ZN-S3-PP----
24983,*,outperforming,ZN-S3-PP----
24990,*,outplaying,ZN-S3-PP----
25001,*,outranking,ZN-S3-PP----
25014,*,outrunning,ZN-S3-PP----
25017,*,outselling,ZN-S3-PP----
25029,*,outsmarting,ZN-S3-PP----
25041,*,outstaying,ZN-S3-PP----
25049,*,outstripping,ZN-S3-PP----
25058,*,outweighing,ZN-S3-PP----
25162,*,over-eating,ZN-S3-PP----
25197,*,overexpressed,ZA----PA----
25247,*,overheating,ZN-S3-PP----
25284,*,overloading,ZN-S3-PP----
25288,*,overlooking,ZN-S3-PP----
25307,*,overpowering,ZN-S3-PP----
25331,*,over-reacting,ZN-S3-PP----
25340,*,over-representing,ZN-S3-PP----
25344,*,overridden,ZA----PA----
25348,*,overriding,ZN-S3-PP----
25353,*,over-riding,ZA----PP----
25376,*,overshadowing,ZN-S3-PP----
25398,*,overspending,ZN-S3-PP----
25434,*,overtaken,ZA----PA----
25437,*,overtaking,ZN-S3-PP----
25456,*,overturning,ZN-S3-PP----
25472,*,over-valuing,ZA----PP----
25477,*,overwhelming,ZN-S3-PP----
25485,*,overworking,ZN-S3-PP----
25504,*,owed,ZA----PA----
25510,*,owning,ZN-S3-PP----
25528,*,oxygenated,ZA----PA----
25552,*,pacified,ZA----PA----
25651,*,palpitated,ZA----PA----
25661,*,pampering,ZN-S3-PP----
25678,*,pandering,ZN-S3-PP----
25749,*,parachuting,ZA----PP----
25817,*,parboiling,ZN-S3-PP----
25827,*,parched,ZA----PA----
25836,*,pared,ZA----PA----
25889,*,partaken,ZA----PA----
25892,*,partaking,ZN-S3-PP----
25896,*,participated,ZA----PA----
25951,*,pasteurised,ZA----PA----
26099,*,pealing,ZN-S3-PP----
26137,*,peddled,ZA----PA----
26145,*,pedestrianised,ZA----PA----
26162,*,peeking,ZN-S3-PP----
26179,*,peeved,ZA----PA----
26194,*,pelting,ZN-S3-PP----
26286,*,perfecting,ZN-S3-PP----
26291,*,perforated,ZA----PA----
26297,*,performing,ZN-S3-PP----
26326,*,perished,ZA----PA----
26336,*,perjured,ZA----PA----
26355,*,permeated,ZA----PA----
26381,*,perpetuated,ZA----PA----
26391,*,persecuted,ZA----PA----
26402,*,persisting,ZN-S3-PP----
26414,*,personalized,ZA----PA----
26420,*,personified,ZA----PA----
26431,*,persuaded,ZN-S3DPA----
26438,*,pertaining,ZN-S3-PP----
26442,*,perturbing,ZN-S3-PP----
26453,*,pervaded,ZA----PA----
26474,*,pestering,ZN-S3-PP----
26486,*,petering,ZN-S3-PP----
26553,*,philosophised,ZA----PA----
26658,*,picturing,ZA----PP----
26662,*,piddled,ZA----PA----
26676,*,pierced,ZA----PA----
26753,*,pinching,ZA----PP----
26771,*,pinioning,ZN-S3-PP----
26785,*,pinpointing,ZN-S3-PP----
26814,*,piquing,ZA----PP----
26863,*,placated,ZA----PA----
26885,*,plagiarized,ZA----PA----
26981,*,pleased,ZA----PA----
26994,*,pleating,ZN-S3-PP----
27019,*,plodding,ZN-S3-PP----
27042,*,plowing,ZN-S3-PP----
27049,*,plucking,ZN-S3-PP----
27064,*,plumbing,ZN-S3-PP----
27080,*,plumping,ZN-S3-PP----
27084,*,plundering,ZN-S3-PP----
27089,*,plunging,ZA----PP----
27094,*,plunking,ZN-S3-PP----
27108,*,plied,ZA----PA----
27148,*,poked,ZA----PA----
27161,*,polarised,ZA----PA----
27169,*,polarized,ZA----PA----
27204,*,politicised,ZA----PA----
27221,*,pollarding,ZN-S3-PP----
27225,*,pollinated,ZA----PA----
27234,*,polluted,ZA----PA----
27255,*,polymerised,ZA----PA----
27261,*,polymerized,ZA----PA----
27303,*,pondering,ZN-S3-PP----
27332,*,popping,ZN-S3-PP----
27360,*,pored,ZA----PA----
27376,*,portending,ZN-S3-PP----
27395,*,portraying,ZN-S3-PP----
27408,*,positing,ZN-S3-PP----
27421,*,possessed,ZA----PA----
27477,*,postponed,ZA----PA----
27506,*,potentiated,ZA----PA----
27529,*,pounced,ZA----PA----
27537,*,pouring,ZN-S3-PP----
27561,*,practised,ZA----PA----
27577,*,pranced,ZA----PA----
27591,*,praying,ZN-S3-PP----
27596,*,preached,ZA----PA----
27609,*,prearranged,ZA----PA----
27616,*,preceded,ZA----PA----
27632,*,precipitating,ZA----PP----
27637,*,precluded,ZA----PA----
27674,*,pre-defined,ZN-S3DPA----
27693,*,predicating,ZA----PP----
27700,*,predicting,ZN-S3-PP----
27713,*,predominated,ZA----PA----
27719,*,preempting,ZN-S3-PP----
27723,*,pre-empting,ZN-S3-PP----
27727,*,preening,ZN-S3-PP----
27734,*,pre-existing,ZN-S3-PP----
27752,*,preferring,ZN-S3-PP----
27761,*,pre-filling,ZN-S3-PP----
27801,*,premeditated,ZA----PA----
27829,*,preoccupied,ZA----PA----
27843,*,prepping,ZN-S3-PP----
27848,*,prepared,ZA----PA----
27902,*,presaged,ZA----PA----
27920,*,pre-selecting,ZN-S3-PP----
27949,*,presided,ZA----PA----
27981,*,presumed,ZN-S3DPA----
27985,*,presupposed,ZA----PA----
27994,*,pretending,ZN-S3-PP----
28009,*,prettified,ZA----PA----
28018,*,prevailing,ZN-S3-PP----
28022,*,prevaricated,ZA----PA----
28029,*,preventing,ZN-S3-PP----
28048,*,pricking,ZN-S3-PP----
28088,*,prioritised,ZA----PA----
28094,*,prioritized,ZA----PA----
28101,*,prised,ZA----PA----
28115,*,privatised,ZA----PA----
28120,*,privatized,ZA----PA----
28171,*,proclaiming,ZN-S3-PP----
28178,*,procrastinated,ZA----PA----
28196,*,prodding,ZN-S3-PP----
28213,*,professed,ZA----PA----
28220,*,professionalised,ZA----PA----
28227,*,proffering,ZN-S3-PP----
28233,*,profiling,ZA----PP----
28266,*,programming,ZA----PP----
28272,*,progressing,ZA----PP----
28278,*,prohibiting,ZN-S3-PP----
28309,*,prolonging,ZN-S3-PP----
28323,*,promoted,ZA----PA----
28339,*,promulgated,ZA----PA----
28347,*,pronounced,ZA----PA----
28381,*,propelling,ZN-S3-PP----
28389,*,prophesied,ZA----PA----
28403,*,proposed,ZN-S3-PA----
28425,*,proscribed,ZA----PA----
28432,*,prosecuted,ZA----PA----
28452,*,prospering,ZN-S3-PP----
28470,*,protecting,ZN-S3-PP----
28509,*,protruded,ZA----PA----
28526,*,provided,ZA----PA----
28540,*,provoked,ZA----PA----
28554,*,pruned,ZA----PA----
28572,*,psyching,ZA----PP----
28584,*,psychoanalysed,ZA----PA----
28587,*,psychoanalysing,ZN-S3-PP----
28608,*,publicised,ZA----PA----
28614,*,publicized,ZA----PA----
28626,*,puckering,ZN-S3-PP----
28666,*,pulsated,ZA----PA----
28684,*,pummelling,ZN-S3-PP----
28751,*,purging,ZA----PP----
28756,*,purified,ZA----PA----
28765,*,purling,ZN-S3-PP----
28769,*,purloining,ZN-S3-PP----
28778,*,purporting,ZN-S3-PP----
28785,*,purring,ZN-S3-PP----
28791,*,pursing,ZA----PP----
28795,*,pursued,ZA----PA----
28862,*,quadrupled,ZA----PA----
28871,*,quaffing,ZN-S3-PP----
28884,*,qualified,ZA----PA----
28901,*,quarantining,ZA----PP----
28928,*,quashed,ZA----PA----
28938,*,quavering,ZN-S3-PP----
28952,*,quelling,ZN-S3-PP----
28984,*,quickening,ZN-S3-PP----
29002,*,quietening,ZN-S3-PP----
29078,*,radiated,ZA----PA----
29090,*,radicalised,ZA----PA----
29095,*,radicalized,ZA----PA----
29182,*,rambled,ZA----PA----
29193,*,rampaged,ZA----PA----
29225,*,rankled,ZA----PA----
29230,*,ransacking,ZN-S3-PP----
29272,*,rasping,ZN-S3-PP----
29293,*,ratified,ZA----PA----
29306,*,rationalised,ZA----PA----
29313,*,rationalized,ZA----PA----
29343,*,ravished,ZA----PA----
29353,*,razed,ZA----PA----
29383,*,reacting,ZN-S3-PP----
29400,*,reading,ZN-S3-PP----
29419,*,re-adjusting,ZN-S3-PP----
29441,*,reaffirming,ZN-S3-PP----
29445,*,re-affirming,ZN-S3-PP----
29462,*,re-aligning,ZN-S3-PP----
29468,*,realised,ZA----PA----
29476,*,realized,ZN-S3-PA----
29502,*,reaping,ZN-S3-PP----
29508,*,reappearing,ZN-S3-PP----
29513,*,re-appearing,ZN-S3-PP----
29532,*,reappointing,ZN-S3-PP----
29539,*,reappraised,ZA----PA----
29551,*,rearming,ZN-S3-PP----
29555,*,rearranged,ZA----PA----
29602,*,reassured,ZN-S3-PA----
29613,*,reawakening,ZN-S3-PP----
29617,*,re-awakening,ZN-S3-PP----
29657,*,rebuffing,ZN-S3-PP----
29661,*,rebuilding,ZN-S3-PP----
29696,*,recalling,ZN-S3-PP----
29701,*,recanting,ZN-S3-PP----
29713,*,recaptured,ZA----PA----
29731,*,received,ZA----PA----
29772,*,recirculated,ZA----PA----
29788,*,reckoning,ZN-S3-PP----
29793,*,reclaiming,ZN-S3-PP----
29817,*,recognised,ZN-S3DPA----
29826,*,recoiling,ZN-S3-PP----
29830,*,recollecting,ZN-S3-PP----
29853,*,recommending,ZN-S3-PP----
29900,*,reconfigured,ZA----PA----
29909,*,re-confirming,ZN-S3-PP----
29919,*,reconnoitering,ZN-S3-PP----
29927,*,reconquering,ZN-S3-PP----
29932,*,reconsidering,ZN-S3-PP----
29938,*,re-considering,ZN-S3DPP----
29947,*,reconstructing,ZN-S3-PP----
29952,*,re-constructing,ZN-S3-PP----
29957,*,reconvened,ZA----PA----
29977,*,recounting,ZN-S3-PP----
29986,*,recouping,ZN-S3-PP----
29991,*,recovering,ZN-S3-PP----
30020,*,rectified,ZA----PA----
30033,*,recurring,ZN-S3-PP----
30060,*,redacting,ZN-S3-PP----
30066,*,reddening,ZN-S3-PP----
30081,*,redeeming,ZN-S3-PP----
30085,*,redefined,ZA----PA----
30091,*,re-defined,ZN-S3DPA----
30111,*,redesigning,ZN-S3-PP----
30129,*,redirecting,ZN-S3-PP----
30133,*,re-directing,ZN-S3-PP----
30139,*,rediscovering,ZN-S3-PP----
30217,*,reeling,ZN-S3-PP----
30225,*,re-electing,ZN-S3-PP----
30245,*,re-enacting,ZN-S3-PP----
30275,*,re-entering,ZN-S3-PP----
30283,*,re-equipping,ZN-S3-PP----
30287,*,re-erecting,ZN-S3-PP----
30311,*,reexamined,ZA----PA----
30332,*,referring,ZN-S3-PP----
30350,*,re-filling,ZN-S3-PP----
30374,*,reflecting,ZN-S3-PP----
30419,*,reformulated,ZA----PA----
30429,*,refracting,ZN-S3-PP----
30452,*,refrigerated,ZA----PA----
30470,*,refurbished,ZA----PA----
30484,*,refuted,ZA----PA----
30491,*,regaining,ZN-S3-PP----
30499,*,regaled,ZA----PA----
30510,*,regenerated,ZA----PA----
30552,*,regrouping,ZN-S3-PP----
30585,*,regurgitated,ZA----PA----
30605,*,rehearsed,ZA----PA----
30624,*,reignited,ZA----PA----
30649,*,reinforced,ZA----PA----
30667,*,reinstalling,ZN-S3-PP----
30672,*,re-installing,ZN-S3-PP----
30676,*,reinstated,ZA----PA----
30692,*,reintegrated,ZA----PA----
30707,*,re-interpreting,ZN-S3-PP----
30715,*,reintroduced,ZA----PA----
30727,*,reinventing,ZN-S3-PP----
30732,*,re-inventing,ZN-S3-PP----
30755,*,rejecting,ZN-S3-PP----
30771,*,re-joining,ZN-S3-PP----
30775,*,rejuvenated,ZA----PA----
30781,*,rekindled,ZA----PA----
30837,*,relenting,ZN-S3-PP----
30844,*,relieved,ZA----PA----
30878,*,relied,ZA----PA----
30887,*,remade,ZA----PA----
30893,*,remanding,ZN-S3-PP----
30929,*,remembering,ZN-S3-PP----
30938,*,reminding,ZN-S3-PP----
30942,*,reminisced,ZA----PA----
30993,*,removed,ZA----PA----
30999,*,remunerated,ZA----PA----
31007,*,renamed,ZA----PA----
31017,*,rending,ZN-S3-PP----
31022,*,rendering,ZN-S3-PP----
31028,*,reneged,ZA----PA----
31037,*,renewing,ZN-S3-PP----
31077,*,re-offending,ZN-S3-PP----
31081,*,reopening,ZN-S3-PP----
31101,*,reorganised,ZA----PA----
31109,*,reorganized,ZA----PA----
31122,*,re-orienting,ZN-S3-PP----
31152,*,repatriated,ZA----PA----
31160,*,repaying,ZN-S3-PP----
31173,*,repelling,ZN-S3-PP----
31180,*,repenting,ZN-S3-PP----
31204,*,replanting,ZN-S3-PP----
31211,*,replenished,ZA----PA----
31217,*,replicated,ZA----PA----
31243,*,repositioning,ZN-S3-PP----
31257,*,representing,ZN-S3-PP----
31266,*,repressed,ZA----PA----
31293,*,reproduced,ZA----PA----
31329,*,repurchasing,ZA----PP----
31341,*,required,ZN-S3-PA----
31357,*,re-reading,ZN-S3-PP----
31407,*,rescinding,ZN-S3-PP----
31435,*,re-selecting,ZN-S3-PP----
31440,*,reselling,ZN-S3-PP----
31447,*,resembled,ZA----PA----
31455,*,re-sending,ZN-S3-PP----
31460,*,resenting,ZN-S3-PP----
31467,*,reserving,ZA----PP----
31478,*,reshaped,ZA----PA----
31498,*,resigning,ZN-S3-PP----
31506,*,resisting,ZN-S3-PP----
31534,*,resonated,ZA----PA----
31544,*,resounding,ZN-S3-PP----
31565,*,responding,ZN-S3-PP----
31585,*,restarting,ZN-S3-PP----
31591,*,restated,ZA----PA----
31618,*,restraining,ZN-S3-PP----
31624,*,restricting,ZN-S3-PP----
31631,*,restructured,ZA----PA----
31666,*,resurfaced,ZA----PA----
31675,*,resurrecting,ZN-S3-PP----
31687,*,resuscitated,ZA----PA----
31700,*,retailing,ZN-S3-PP----
31705,*,retaining,ZN-S3-PP----
31710,*,retaken,ZA----PA----
31721,*,retarding,ZN-S3-PP----
31730,*,retelling,ZN-S3-PP----
31757,*,retired,ZA----PA----
31769,*,retouched,ZA----PA----
31779,*,retracting,ZN-S3-PP----
31786,*,retraining,ZN-S3-PP----
31803,*,retrenched,ZA----PA----
31813,*,retrieved,ZA----PA----
